Domain,Event_Type,Speaker_Type,Duration_Hours,Day_Type,Time_Slot,Promotion_Days,Certificate_Flag,Interactivity_Level,Relevance_Friction_1,Relevance_Friction_2,Relevance_Friction_3,Relevance_Friction_4,Relevance_Friction_5,Schedule_Friction_1,Schedule_Friction_2,Schedule_Friction_3,Schedule_Friction_4,Schedule_Friction_5,Fatigue_Friction_1,Fatigue_Friction_2,Fatigue_Friction_3,Fatigue_Friction_4,Fatigue_Friction_5,Promotion_Friction_1,Promotion_Friction_2,Promotion_Friction_3,Promotion_Friction_4,Promotion_Friction_5,Social_Friction_1,Social_Friction_2,Social_Friction_3,Social_Friction_4,Social_Friction_5,Format_Friction_1,Format_Friction_2,Format_Friction_3,Format_Friction_4,Format_Friction_5,Expected_Attendance,Engagement_Level
Music,Guest_Lecture,Faculty,1.0,Weekday,Evening,1,0,0.9899833738333238,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,43,Low
Law,Guest_Lecture,Alumni,1.5,Weekday,Afternoon,12,1,0.2962979127283698,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,68,Medium
Business,Workshop,Industry,2.5,Weekday,Afternoon,2,0,0.9114983399785841,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,79,Medium
Music,Workshop,Industry,1.0,Weekday,Morning,11,0,0.8987663382977191,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,79,Medium
Tech,Workshop,Faculty,1.0,Weekend,Afternoon,1,1,0.8550535101542067,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,105,Medium
Business,Workshop,Industry,1.5,Weekday,Afternoon,13,1,0.1585604137082619,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,64,Medium
Music,Workshop,Faculty,1.0,Weekday,Afternoon,4,0,0.6597496643418121,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,33,Low
Music,Career_Talk,Faculty,2.0,Weekday,Morning,14,0,0.3798941795403238,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,93,Medium
Tech,Workshop,Faculty,1.5,Weekday,Evening,7,0,0.4728147797723854,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,51,Low
Law,Workshop,Industry,2.0,Weekday,Morning,8,1,0.15413482083692953,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,53,Low
Law,Guest_Lecture,Industry,2.0,Weekday,Evening,7,0,0.9772225809081955,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,63,Low
Business,Guest_Lecture,Alumni,1.5,Weekday,Evening,11,1,0.2655892080308273,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,94,Medium
Design,Workshop,Industry,2.0,Weekend,Morning,4,0,0.8585181858446752,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,21,Low
Business,Workshop,Faculty,1.0,Weekday,Afternoon,7,0,0.060237331184360476,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,67,Medium
Law,Career_Talk,Industry,1.5,Weekend,Afternoon,4,1,0.7923203824101887,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,68,Medium
Tech,Workshop,Industry,1.5,Weekday,Evening,12,0,0.7968232796152347,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,28,Low
Design,Guest_Lecture,Faculty,1.0,Weekday,Evening,13,0,0.26094207485832155,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,10,Low
Tech,Guest_Lecture,Industry,1.0,Weekday,Afternoon,8,1,0.5674487383953781,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,133,High
Business,Workshop,Faculty,1.5,Weekday,Evening,9,0,0.29767261934073375,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,52,Low
Design,Guest_Lecture,Faculty,1.5,Weekday,Afternoon,11,0,0.21061974468778866,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,63,Low
Music,Workshop,Alumni,2.0,Weekday,Afternoon,6,0,0.6182349278551796,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,10,Low
Law,Workshop,Alumni,1.0,Weekend,Afternoon,4,1,0.7253357014695324,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,54,Low
Business,Workshop,Industry,1.0,Weekday,Evening,14,1,0.7126106796928215,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,113,Medium
Business,Career_Talk,Industry,2.5,Weekday,Morning,10,1,0.8384754745993522,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,99,Medium
Music,Workshop,Alumni,1.0,Weekday,Evening,1,1,0.7152408448650436,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,37,Low
Tech,Workshop,Industry,2.5,Weekday,Morning,9,0,0.38244803267901595,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,65,Medium
Law,Career_Talk,Industry,2.0,Weekend,Afternoon,7,1,0.979200965347107,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,138,High
Tech,Workshop,Industry,1.5,Weekday,Evening,4,0,0.955835560062612,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,76,Medium
Tech,Career_Talk,Faculty,1.0,Weekday,Evening,12,0,0.45192718316516767,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,38,Low
Music,Guest_Lecture,Industry,2.0,Weekend,Afternoon,10,1,0.9711532749699785,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,121,High
Music,Guest_Lecture,Industry,2.5,Weekday,Evening,7,0,0.9831286269465188,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,66,Medium
Business,Guest_Lecture,Faculty,2.0,Weekday,Afternoon,6,1,0.7435425870638989,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,93,Medium
Law,Guest_Lecture,Faculty,2.0,Weekday,Morning,4,1,0.8075479724703507,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,66,Medium
Law,Workshop,Industry,1.5,Weekend,Afternoon,9,0,0.11413382323128662,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,75,Medium
