Domain,Event_Type,Speaker_Type,Duration_Hours,Day_Type,Time_Slot,Promotion_Days,Certificate_Flag,Interactivity_Level,Relevance_Friction_1,Relevance_Friction_2,Relevance_Friction_3,Relevance_Friction_4,Relevance_Friction_5,Schedule_Friction_1,Schedule_Friction_2,Schedule_Friction_3,Schedule_Friction_4,Schedule_Friction_5,Fatigue_Friction_1,Fatigue_Friction_2,Fatigue_Friction_3,Fatigue_Friction_4,Fatigue_Friction_5,Promotion_Friction_1,Promotion_Friction_2,Promotion_Friction_3,Promotion_Friction_4,Promotion_Friction_5,Social_Friction_1,Social_Friction_2,Social_Friction_3,Social_Friction_4,Social_Friction_5,Format_Friction_1,Format_Friction_2,Format_Friction_3,Format_Friction_4,Format_Friction_5,Expected_Attendance,Engagement_Level
Music,Workshop,Faculty,1.0,Weekend,Evening,2,1,0.2688945114379946,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,82,Medium
Law,Guest_Lecture,Faculty,1.0,Weekend,Evening,5,1,0.6095385840156123,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,96,Medium
Business,Guest_Lecture,Industry,1.0,Weekday,Evening,11,1,0.3431577679631066,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,112,Medium
Music,Workshop,Industry,2.0,Weekday,Afternoon,6,1,0.6564037147125029,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,102,Medium
Tech,Workshop,Industry,1.5,Weekday,Afternoon,3,0,0.5916265413624162,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,87,Medium
Business,Workshop,Industry,1.0,Weekday,Afternoon,14,1,0.9977665226215087,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,137,High
Music,Guest_Lecture,Industry,1.0,Weekday,Morning,3,1,0.31095599007540886,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,75,Medium
Music,Guest_Lecture,Alumni,2.5,Weekday,Evening,2,1,0.3498073736878471,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,79,Medium
Tech,Guest_Lecture,Industry,1.5,Weekend,Evening,6,0,0.1987675510460507,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,47,Low
Law,Workshop,Industry,1.5,Weekday,Afternoon,2,0,0.4639081721435214,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,61,Low
Law,Workshop,Faculty,1.0,Weekday,Morning,9,1,0.8373602118408281,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,109,Medium
Business,Guest_Lecture,Faculty,1.0,Weekend,Morning,7,1,0.21099803562700103,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,68,Low
Design,Workshop,Industry,2.0,Weekday,Evening,13,0,0.9614098277203463,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,125,Medium
Business,Guest_Lecture,Industry,2.0,Weekday,Morning,3,1,0.01315728279463102,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,63,Low
Law,Workshop,Alumni,1.5,Weekday,Morning,4,0,0.8051487301469052,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,104,Medium
